varcd,periodo,ano,mes,geo_cod,geo_dsg,valor,unidade,dim_3,dim_3_t,dim_4,dim_4_t,ind_string,concelho,distrito,nivel_geo
0012918,2025,2025,,2004901,Corvo,2,,1,H,91,80 - 84 anos,2,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,3,,2,M,92,85 e mais anos,3,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,5,,1,H,12,5 - 9 anos,5,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,5,,1,H,92,85 e mais anos,5,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,6,,2,M,82,75 - 79 anos,6,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,7,,2,M,11,0 - 4 anos,7,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,7,,2,M,71,60 - 64 anos,7,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,7,,2,M,91,80 - 84 anos,7,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,8,,2,M,12,5 - 9 anos,8,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,8,,2,M,31,20 - 24 anos,8,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,8,,T,HM,92,85 e mais anos,8,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,9,,1,H,21,10 - 14 anos,9,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,9,,1,H,81,70 - 74 anos,9,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,9,,1,H,82,75 - 79 anos,9,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,9,,T,HM,91,80 - 84 anos,9,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,10,,1,H,11,0 - 4 anos,10,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,10,,1,H,42,35 - 39 anos,10,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,10,,1,H,72,65 - 69 anos,10,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,10,,2,M,22,15 - 19 anos,10,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,10,,2,M,81,70 - 74 anos,10,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004801,Lajes das Flores,11,,1,H,92,85 e mais anos,11,Lajes das Flores,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,12,,1,H,62,55 - 59 anos,12,Corvo,Região Autónoma dos Açores,Município
0012918,2025,2025,,2004901,Corvo,12,,2,M,21,10 - 14 anos,12,Corvo,Região Autónoma dos Açores,Município
