concelho,distrito,ano,dim_4_t,classificacao_nuts,valor
Abrantes,Santarém,2020,0 - 4 anos,2013,1066
Abrantes,Santarém,2020,5 - 9 anos,2013,1135
Abrantes,Santarém,2020,25 - 29 anos,2013,1266
Abrantes,Santarém,2020,30 - 34 anos,2013,1345
Abrantes,Santarém,2020,10 - 14 anos,2013,1453
Abrantes,Santarém,2020,20 - 24 anos,2013,1609
Abrantes,Santarém,2020,15 - 19 anos,2013,1623
Abrantes,Santarém,2020,35 - 39 anos,2013,1686
Abrantes,Santarém,2020,80 - 84 anos,2013,1737
Abrantes,Santarém,2020,75 - 79 anos,2013,1943
Abrantes,Santarém,2020,85 e mais anos,2013,2004
Abrantes,Santarém,2020,40 - 44 anos,2013,2215
Abrantes,Santarém,2020,70 - 74 anos,2013,2336
Abrantes,Santarém,2020,45 - 49 anos,2013,2465
Abrantes,Santarém,2020,50 - 54 anos,2013,2493
Abrantes,Santarém,2020,65 - 69 anos,2013,2666
Abrantes,Santarém,2020,55 - 59 anos,2013,2744
Abrantes,Santarém,2020,60 - 64 anos,2013,2772
Abrantes,Santarém,2020,Total,2013,34558
Abrantes,Santarém,2021,0 - 4 anos,2024,996
Abrantes,Santarém,2021,5 - 9 anos,2024,1160
Abrantes,Santarém,2021,10 - 14 anos,2024,1396
Abrantes,Santarém,2021,25 - 29 anos,2024,1405
Abrantes,Santarém,2021,30 - 34 anos,2024,1413
Abrantes,Santarém,2021,15 - 19 anos,2024,1607
Abrantes,Santarém,2021,35 - 39 anos,2024,1682
Abrantes,Santarém,2021,80 - 84 anos,2024,1695
Abrantes,Santarém,2021,20 - 24 anos,2024,1702
Abrantes,Santarém,2021,75 - 79 anos,2024,1987
Abrantes,Santarém,2021,40 - 44 anos,2024,2069
Abrantes,Santarém,2021,85 e mais anos,2024,2169
Abrantes,Santarém,2021,70 - 74 anos,2024,2299
Abrantes,Santarém,2021,50 - 54 anos,2024,2467
Abrantes,Santarém,2021,45 - 49 anos,2024,2509
Abrantes,Santarém,2021,55 - 59 anos,2024,2653
Abrantes,Santarém,2021,65 - 69 anos,2024,2693
Abrantes,Santarém,2021,60 - 64 anos,2024,2728
Abrantes,Santarém,2021,Total,2024,34630
Abrantes,Santarém,2022,0 - 4 anos,2024,1019
Abrantes,Santarém,2022,5 - 9 anos,2024,1208
Abrantes,Santarém,2022,10 - 14 anos,2024,1390
Abrantes,Santarém,2022,30 - 34 anos,2024,1397
Abrantes,Santarém,2022,25 - 29 anos,2024,1521
Abrantes,Santarém,2022,80 - 84 anos,2024,1616
Abrantes,Santarém,2022,15 - 19 anos,2024,1675
Abrantes,Santarém,2022,20 - 24 anos,2024,1704
Abrantes,Santarém,2022,35 - 39 anos,2024,1728
Abrantes,Santarém,2022,40 - 44 anos,2024,2014
Abrantes,Santarém,2022,75 - 79 anos,2024,2024
Abrantes,Santarém,2022,85 e mais anos,2024,2158
Abrantes,Santarém,2022,70 - 74 anos,2024,2421
Abrantes,Santarém,2022,45 - 49 anos,2024,2489
Abrantes,Santarém,2022,50 - 54 anos,2024,2528
Abrantes,Santarém,2022,55 - 59 anos,2024,2603
Abrantes,Santarém,2022,65 - 69 anos,2024,2643
Abrantes,Santarém,2022,60 - 64 anos,2024,2726
