distrito,ano,dim_4_t,valor
Aveiro,2020,30 - 34 anos,36857
Aveiro,2020,35 - 39 anos,43574
Aveiro,2020,40 - 44 anos,51051
Aveiro,2020,45 - 49 anos,54596
Aveiro,2020,50 - 54 anos,53426
Aveiro,2020,55 - 59 anos,53494
Aveiro,2020,60 - 64 anos,50313
Aveiro,2020,65 - 69 anos,45151
Aveiro,2020,70 - 74 anos,39613
Aveiro,2020,75 - 79 anos,30491
Aveiro,2020,80 - 84 anos,23880
Aveiro,2020,85 e mais anos,22684
Aveiro,2020,Total,703994
Aveiro,2020,0 - 4 anos,27994
Aveiro,2020,5 - 9 anos,28538
Aveiro,2020,10 - 14 anos,32419
Aveiro,2020,15 - 19 anos,35260
Aveiro,2020,20 - 24 anos,38162
Aveiro,2020,25 - 29 anos,36491
Aveiro,2021,30 - 34 anos,38291
Aveiro,2021,35 - 39 anos,43479
Aveiro,2021,40 - 44 anos,50511
Aveiro,2021,45 - 49 anos,54727
Aveiro,2021,50 - 54 anos,53108
Aveiro,2021,55 - 59 anos,52687
Aveiro,2021,60 - 64 anos,50096
Aveiro,2021,65 - 69 anos,45427
Aveiro,2021,70 - 74 anos,40641
Aveiro,2021,75 - 79 anos,31824
Aveiro,2021,80 - 84 anos,24008
Aveiro,2021,85 e mais anos,23809
Aveiro,2021,Total,709034
Aveiro,2021,0 - 4 anos,26909
Aveiro,2021,5 - 9 anos,29222
Aveiro,2021,10 - 14 anos,32690
Aveiro,2021,15 - 19 anos,34849
Aveiro,2021,20 - 24 anos,38605
Aveiro,2021,25 - 29 anos,38151
Aveiro,2022,30 - 34 anos,40698
Aveiro,2022,35 - 39 anos,44073
Aveiro,2022,40 - 44 anos,50878
Aveiro,2022,45 - 49 anos,55802
Aveiro,2022,50 - 54 anos,54002
Aveiro,2022,55 - 59 anos,52932
Aveiro,2022,60 - 64 anos,50860
Aveiro,2022,65 - 69 anos,46362
Aveiro,2022,70 - 74 anos,42027
Aveiro,2022,75 - 79 anos,32744
Aveiro,2022,80 - 84 anos,24148
Aveiro,2022,85 e mais anos,24427
Aveiro,2022,Total,725644
Aveiro,2022,0 - 4 anos,27261
Aveiro,2022,5 - 9 anos,30425
Aveiro,2022,10 - 14 anos,33506
Aveiro,2022,15 - 19 anos,35258
Aveiro,2022,20 - 24 anos,39876
Aveiro,2022,25 - 29 anos,40365
Aveiro,2023,30 - 34 anos,42746
Aveiro,2023,35 - 39 anos,44942
Aveiro,2023,40 - 44 anos,50936
Aveiro,2023,45 - 49 anos,56357
Aveiro,2023,50 - 54 anos,54525
Aveiro,2023,55 - 59 anos,53484
Aveiro,2023,60 - 64 anos,51320
Aveiro,2023,65 - 69 anos,47788
Aveiro,2023,70 - 74 anos,42069
Aveiro,2023,75 - 79 anos,34603
Aveiro,2023,80 - 84 anos,24428
Aveiro,2023,85 e mais anos,25787
Aveiro,2023,Total,738735
Aveiro,2023,0 - 4 anos,27260
Aveiro,2023,5 - 9 anos,31142
Aveiro,2023,10 - 14 anos,33324
Aveiro,2023,15 - 19 anos,35454
Aveiro,2023,20 - 24 anos,40687
Aveiro,2023,25 - 29 anos,41883
Aveiro,2024,30 - 34 anos,43701
Aveiro,2024,35 - 39 anos,44665
Aveiro,2024,40 - 44 anos,50915
Aveiro,2024,45 - 49 anos,55834
Aveiro,2024,50 - 54 anos,55311
