concelho,distrito,ano,mes,valor
Abrantes,Santarém,2020,1,1863.0
Abrantes,Santarém,2020,2,3408.0
Abrantes,Santarém,2020,3,1569.0
Abrantes,Santarém,2020,4,768.0
Abrantes,Santarém,2020,5,451.0
Abrantes,Santarém,2020,6,1856.0
Abrantes,Santarém,2020,7,3243.0
Abrantes,Santarém,2020,8,5819.0
Abrantes,Santarém,2020,9,3411.0
Abrantes,Santarém,2020,10,2345.0
Abrantes,Santarém,2020,11,1166.0
Abrantes,Santarém,2020,12,993.0
Abrantes,Santarém,2021,1,794.0
Abrantes,Santarém,2021,2,1729.0
Abrantes,Santarém,2021,3,735.0
Abrantes,Santarém,2021,4,876.0
Abrantes,Santarém,2021,5,2596.0
Abrantes,Santarém,2021,6,3200.0
Abrantes,Santarém,2021,7,3916.0
Abrantes,Santarém,2021,8,5523.0
Abrantes,Santarém,2021,9,3678.0
Abrantes,Santarém,2021,10,3787.0
Abrantes,Santarém,2021,11,2486.0
Abrantes,Santarém,2021,12,1628.0
Abrantes,Santarém,2022,1,1170.0
Abrantes,Santarém,2022,2,1619.0
Abrantes,Santarém,2022,3,2096.0
Abrantes,Santarém,2022,4,3414.0
Abrantes,Santarém,2022,5,3047.0
Abrantes,Santarém,2022,6,3643.0
Abrantes,Santarém,2022,7,4675.0
Abrantes,Santarém,2022,8,6080.0
Abrantes,Santarém,2022,9,3810.0
Abrantes,Santarém,2022,10,3387.0
Abrantes,Santarém,2022,11,2611.0
Abrantes,Santarém,2022,12,2808.0
Abrantes,Santarém,2023,1,2007.0
Abrantes,Santarém,2023,2,1909.0
Abrantes,Santarém,2023,3,1903.0
Abrantes,Santarém,2023,4,3607.0
Abrantes,Santarém,2023,5,2967.0
Abrantes,Santarém,2023,6,3218.0
Abrantes,Santarém,2023,7,3628.0
Abrantes,Santarém,2023,8,6618.0
Abrantes,Santarém,2023,9,4003.0
Abrantes,Santarém,2023,10,3526.0
Abrantes,Santarém,2023,11,2727.0
Abrantes,Santarém,2023,12,2563.0
Abrantes,Santarém,2024,1,2401.0
Abrantes,Santarém,2024,2,2066.0
Abrantes,Santarém,2024,3,2695.0
Abrantes,Santarém,2024,4,3422.0
Abrantes,Santarém,2024,5,3972.0
Abrantes,Santarém,2024,6,4168.0
Abrantes,Santarém,2024,7,5588.0
Abrantes,Santarém,2024,8,7741.0
Abrantes,Santarém,2024,9,4750.0
Abrantes,Santarém,2024,10,3981.0
Abrantes,Santarém,2024,11,3344.0
Abrantes,Santarém,2024,12,2942.0
Abrantes,Santarém,2025,1,2353.0
Abrantes,Santarém,2025,2,2517.0
Abrantes,Santarém,2025,3,2629.0
Abrantes,Santarém,2025,4,3660.0
Abrantes,Santarém,2025,5,3788.0
Abrantes,Santarém,2025,6,4596.0
Abrantes,Santarém,2025,7,6226.0
Abrantes,Santarém,2025,8,6388.0
Abrantes,Santarém,2025,9,4233.0
Abrantes,Santarém,2025,10,3203.0
Abrantes,Santarém,2025,11,2990.0
Abrantes,Santarém,2025,12,2504.0
Abrantes,Santarém,2026,1,2254.0
Abrantes,Santarém,2026,2,1898.0
Abrantes,Santarém,2026,3,2503.0
Abrantes,Santarém,2026,4,3314.0
Abrantes,Santarém,2026,5,3514.0
