distrito,ano,mes,valor
Aveiro,2020,1,62083.0
Aveiro,2020,2,73767.0
Aveiro,2020,3,24262.0
Aveiro,2020,4,2384.0
Aveiro,2020,5,5002.0
Aveiro,2020,6,30174.0
Aveiro,2020,7,68703.0
Aveiro,2020,8,137930.0
Aveiro,2020,9,82201.0
Aveiro,2020,10,59427.0
Aveiro,2020,11,22944.0
Aveiro,2020,12,25251.0
Aveiro,2021,1,18058.0
Aveiro,2021,2,14695.0
Aveiro,2021,3,18067.0
Aveiro,2021,4,26510.0
Aveiro,2021,5,63468.0
Aveiro,2021,6,84012.0
Aveiro,2021,7,99540.0
Aveiro,2021,8,162445.0
Aveiro,2021,9,105974.0
Aveiro,2021,10,109169.0
Aveiro,2021,11,74145.0
Aveiro,2021,12,70532.0
Aveiro,2022,1,52566.0
Aveiro,2022,2,68711.0
Aveiro,2022,3,74387.0
Aveiro,2022,4,115952.0
Aveiro,2022,5,115081.0
Aveiro,2022,6,124581.0
Aveiro,2022,7,160799.0
Aveiro,2022,8,203140.0
Aveiro,2022,9,143282.0
Aveiro,2022,10,119082.0
Aveiro,2022,11,80716.0
Aveiro,2022,12,88277.0
Aveiro,2023,1,70879.0
Aveiro,2023,2,79538.0
Aveiro,2023,3,87329.0
Aveiro,2023,4,128587.0
Aveiro,2023,5,125627.0
Aveiro,2023,6,130558.0
Aveiro,2023,7,169915.0
Aveiro,2023,8,206984.0
Aveiro,2023,9,148497.0
Aveiro,2023,10,125429.0
Aveiro,2023,11,86118.0
Aveiro,2023,12,100905.0
Aveiro,2024,1,67644.0
Aveiro,2024,2,78068.0
Aveiro,2024,3,103683.0
Aveiro,2024,4,110913.0
Aveiro,2024,5,137803.0
Aveiro,2024,6,137168.0
Aveiro,2024,7,173000.0
Aveiro,2024,8,222126.0
Aveiro,2024,9,145936.0
Aveiro,2024,10,119468.0
Aveiro,2024,11,99779.0
Aveiro,2024,12,94152.0
Aveiro,2025,1,70298.0
Aveiro,2025,2,70602.0
Aveiro,2025,3,91120.0
Aveiro,2025,4,127016.0
Aveiro,2025,5,141212.0
Aveiro,2025,6,136375.0
Aveiro,2025,7,174660.0
Aveiro,2025,8,216221.0
Aveiro,2025,9,149063.0
Aveiro,2025,10,120511.0
Aveiro,2025,11,93053.0
Aveiro,2025,12,98379.0
Aveiro,2026,1,70365.0
Aveiro,2026,2,70761.0
Aveiro,2026,3,91150.0
Aveiro,2026,4,119130.0
Aveiro,2026,5,135266.0
Aveiro,2026,6,136775.0
Aveiro,2026,7,179872.0
Beja,2020,1,23697.0
Beja,2020,2,33364.0
Beja,2020,3,16742.0
Beja,2020,4,3538.0
Beja,2020,5,11173.0
Beja,2020,6,46235.0
Beja,2020,7,74116.0
Beja,2020,8,98935.0
Beja,2020,9,69584.0
Beja,2020,10,43641.0
Beja,2020,11,17638.0
Beja,2020,12,17663.0
Beja,2021,1,12263.0
Beja,2021,2,12097.0
Beja,2021,3,15851.0
Beja,2021,4,22880.0
Beja,2021,5,43233.0
Beja,2021,6,62177.0
Beja,2021,7,83268.0
Beja,2021,8,116302.0
Beja,2021,9,79567.0
Beja,2021,10,57921.0
Beja,2021,11,34218.0
Beja,2021,12,24732.0
Beja,2022,1,21770.0
Beja,2022,2,32621.0
Beja,2022,3,36677.0
Beja,2022,4,56259.0
Beja,2022,5,59202.0
Beja,2022,6,73653.0
Beja,2022,7,90624.0
Beja,2022,8,120303.0
Beja,2022,9,79932.0
Beja,2022,10,59787.0
Beja,2022,11,35988.0
Beja,2022,12,30329.0
Beja,2023,1,26429.0
Beja,2023,2,36590.0
Beja,2023,3,45576.0
Beja,2023,4,71191.0
Beja,2023,5,66976.0
Beja,2023,6,80476.0
Beja,2023,7,99010.0
Beja,2023,8,127423.0
Beja,2023,9,95057.0
Beja,2023,10,69788.0
Beja,2023,11,39909.0
Beja,2023,12,38343.0
Beja,2024,1,26255.0
Beja,2024,2,36840.0
Beja,2024,3,53387.0
Beja,2024,4,67407.0
Beja,2024,5,80420.0
Beja,2024,6,83322.0
Beja,2024,7,102563.0
Beja,2024,8,135437.0
Beja,2024,9,93890.0
Beja,2024,10,69092.0
Beja,2024,11,47947.0
Beja,2024,12,37010.0
Beja,2025,1,29757.0
Beja,2025,2,38005.0
Beja,2025,3,50446.0
Beja,2025,4,74356.0
Beja,2025,5,83589.0
Beja,2025,6,93212.0
Beja,2025,7,115731.0
Beja,2025,8,145414.0
Beja,2025,9,105938.0
Beja,2025,10,76436.0
Beja,2025,11,52308.0
Beja,2025,12,36583.0
Beja,2026,1,27638.0
Beja,2026,2,37378.0
Beja,2026,3,55778.0
Beja,2026,4,80970.0
Beja,2026,5,87323.0
Beja,2026,6,99104.0
Beja,2026,7,116592.0
Braga,2020,1,71390.0
Braga,2020,2,84795.0
Braga,2020,3,34372.0
Braga,2020,4,3723.0
Braga,2020,5,10932.0
Braga,2020,6,40878.0
Braga,2020,7,100363.0
Braga,2020,8,174125.0
Braga,2020,9,104378.0
Braga,2020,10,67000.0
Braga,2020,11,25688.0
Braga,2020,12,29450.0
Braga,2021,1,25106.0
Braga,2021,2,21185.0
Braga,2021,3,23434.0
Braga,2021,4,34846.0
Braga,2021,5,66615.0
Braga,2021,6,97147.0
Braga,2021,7,142242.0
Braga,2021,8,220026.0
Braga,2021,9,143758.0
Braga,2021,10,130647.0
Braga,2021,11,86041.0
Braga,2021,12,74309.0
Braga,2022,1,47907.0
Braga,2022,2,76248.0
Braga,2022,3,87801.0
Braga,2022,4,136504.0
Braga,2022,5,142359.0
Braga,2022,6,157603.0
Braga,2022,7,199499.0
Braga,2022,8,266395.0
Braga,2022,9,170119.0
Braga,2022,10,139668.0
Braga,2022,11,96455.0
Braga,2022,12,99324.0
Braga,2023,1,66642.0
Braga,2023,2,80430.0
Braga,2023,3,100012.0
Braga,2023,4,154251.0
Braga,2023,5,154196.0
Braga,2023,6,159089.0
Braga,2023,7,214773.0
Braga,2023,8,262535.0
Braga,2023,9,185558.0
Braga,2023,10,150778.0
Braga,2023,11,98524.0
Braga,2023,12,111599.0
Braga,2024,1,73397.0
Braga,2024,2,84104.0
Braga,2024,3,108792.0
Braga,2024,4,135997.0
Braga,2024,5,166607.0
Braga,2024,6,166792.0
Braga,2024,7,208976.0
Braga,2024,8,272675.0
Braga,2024,9,196312.0
Braga,2024,10,152656.0
Braga,2024,11,111960.0
Braga,2024,12,108864.0
Braga,2025,1,79513.0
Braga,2025,2,85544.0
Braga,2025,3,118680.0
Braga,2025,4,158701.0
Braga,2025,5,179144.0
Braga,2025,6,174934.0
Braga,2025,7,217975.0
Braga,2025,8,276990.0
Braga,2025,9,192399.0
