distrito,ano,dim_3_t,valor
Aveiro,2020,Alemanha,12731.0
Aveiro,2020,Angola,465.0
Aveiro,2020,Argentina,225.0
Aveiro,2020,Austrália,255.0
Aveiro,2020,Brasil,14708.0
Aveiro,2020,Bulgária,321.0
Aveiro,2020,Bélgica,3238.0
Aveiro,2020,Canadá,947.0
Aveiro,2020,China,1768.0
Aveiro,2020,Chipre,35.0
Aveiro,2020,Chéquia,1103.0
Aveiro,2020,Coreia (República da),263.0
Aveiro,2020,Croácia,181.0
Aveiro,2020,Dinamarca,869.0
Aveiro,2020,Eslováquia,375.0
Aveiro,2020,Eslovénia,235.0
Aveiro,2020,Espanha,75653.0
Aveiro,2020,Estados Unidos da América,2126.0
Aveiro,2020,Estrangeiro,180773.0
Aveiro,2020,Estónia,86.0
Aveiro,2020,Federação da Rússia,1011.0
Aveiro,2020,Finlândia,454.0
Aveiro,2020,França,22245.0
Aveiro,2020,Grécia,234.0
Aveiro,2020,Hungria,254.0
Aveiro,2020,Irlanda,630.0
Aveiro,2020,Israel,633.0
Aveiro,2020,Itália,9257.0
Aveiro,2020,Japão,2293.0
Aveiro,2020,Letónia,148.0
Aveiro,2020,Lituânia,283.0
Aveiro,2020,Luxemburgo,725.0
Aveiro,2020,Malta,42.0
Aveiro,2020,Marrocos,195.0
Aveiro,2020,México,327.0
Aveiro,2020,Noruega,343.0
Aveiro,2020,Outros,4640.0
Aveiro,2020,Países Baixos (Reino dos),5150.0
Aveiro,2020,Polónia,3159.0
Aveiro,2020,Portugal,435717.0
Aveiro,2020,Reino Unido da Grã-Bretanha e Irlanda do Norte,5058.0
Aveiro,2020,Roménia,1305.0
Aveiro,2020,Suécia,494.0
Aveiro,2020,Suíça,3742.0
Aveiro,2020,Sérvia,24.0
Aveiro,2020,Total,616490.0
Aveiro,2020,Turquia,395.0
Aveiro,2020,Ucrânia,777.0
Aveiro,2020,Áustria,937.0
Aveiro,2020,Índia,434.0
Aveiro,2021,Alemanha,20568.0
Aveiro,2021,Angola,760.0
Aveiro,2021,Argentina,313.0
Aveiro,2021,Austrália,493.0
Aveiro,2021,Brasil,12489.0
Aveiro,2021,Bulgária,414.0
Aveiro,2021,Bélgica,5497.0
Aveiro,2021,Canadá,1183.0
Aveiro,2021,China,1233.0
Aveiro,2021,Chipre,44.0
Aveiro,2021,Chéquia,1353.0
Aveiro,2021,Coreia (República da),744.0
Aveiro,2021,Croácia,258.0
Aveiro,2021,Dinamarca,1957.0
Aveiro,2021,Eslováquia,279.0
Aveiro,2021,Eslovénia,303.0
Aveiro,2021,Espanha,105676.0
Aveiro,2021,Estados Unidos da América,5778.0
Aveiro,2021,Estrangeiro,260797.0
Aveiro,2021,Estónia,321.0
Aveiro,2021,Federação da Rússia,1288.0
Aveiro,2021,Finlândia,1002.0
Aveiro,2021,França,33404.0
Aveiro,2021,Grécia,1985.0
Aveiro,2021,Hungria,605.0
Aveiro,2021,Irlanda,1208.0
Aveiro,2021,Israel,2043.0
Aveiro,2021,Itália,13432.0
Aveiro,2021,Japão,159.0
Aveiro,2021,Letónia,255.0
Aveiro,2021,Lituânia,628.0
Aveiro,2021,Luxemburgo,1740.0
Aveiro,2021,Malta,305.0
Aveiro,2021,Marrocos,378.0
Aveiro,2021,México,511.0
Aveiro,2021,Noruega,774.0
Aveiro,2021,Outros,9363.0
Aveiro,2021,Países Baixos (Reino dos),6517.0
Aveiro,2021,Polónia,4615.0
Aveiro,2021,Portugal,593430.0
Aveiro,2021,Reino Unido da Grã-Bretanha e Irlanda do Norte,6688.0
Aveiro,2021,Roménia,1750.0
Aveiro,2021,Suécia,1035.0
Aveiro,2021,Suíça,6583.0
Aveiro,2021,Sérvia,171.0
Aveiro,2021,Total,854227.0
Aveiro,2021,Turquia,1054.0
Aveiro,2021,Ucrânia,657.0
Aveiro,2021,Áustria,1796.0
Aveiro,2021,Índia,1188.0
Aveiro,2022,Alemanha,41507.0
Aveiro,2022,Angola,2240.0
Aveiro,2022,Argentina,2777.0
Aveiro,2022,Austrália,1733.0
Aveiro,2022,Brasil,44674.0
Aveiro,2022,Bulgária,3766.0
Aveiro,2022,Bélgica,9810.0
Aveiro,2022,Canadá,6660.0
Aveiro,2022,China,3250.0
Aveiro,2022,Chipre,267.0
Aveiro,2022,Chéquia,2224.0
Aveiro,2022,Coreia (República da),2680.0
Aveiro,2022,Croácia,836.0
Aveiro,2022,Dinamarca,4170.0
Aveiro,2022,Eslováquia,1210.0
Aveiro,2022,Eslovénia,813.0
Aveiro,2022,Espanha,199013.0
Aveiro,2022,Estados Unidos da América,22105.0
Aveiro,2022,Estrangeiro,578567.0
Aveiro,2022,Estónia,1123.0
Aveiro,2022,Federação da Rússia,2108.0
Aveiro,2022,Finlândia,2293.0
Aveiro,2022,França,62412.0
Aveiro,2022,Grécia,11283.0
Aveiro,2022,Hungria,1986.0
Aveiro,2022,Irlanda,3526.0
Aveiro,2022,Israel,5958.0
Aveiro,2022,Itália,21746.0
Aveiro,2022,Japão,521.0
Aveiro,2022,Letónia,672.0
Aveiro,2022,Lituânia,1590.0
Aveiro,2022,Luxemburgo,2525.0
Aveiro,2022,Malta,116.0
Aveiro,2022,Marrocos,811.0
Aveiro,2022,México,1880.0
Aveiro,2022,Noruega,1424.0
Aveiro,2022,Outros,37221.0
Aveiro,2022,Países Baixos (Reino dos),15031.0
Aveiro,2022,Polónia,7700.0
Aveiro,2022,Portugal,781445.0
Aveiro,2022,Reino Unido da Grã-Bretanha e Irlanda do Norte,19198.0
Aveiro,2022,Roménia,4366.0
Aveiro,2022,Suécia,2459.0
Aveiro,2022,Suíça,11085.0
Aveiro,2022,Sérvia,216.0
Aveiro,2022,Total,1360012.0
Aveiro,2022,Turquia,1924.0
Aveiro,2022,Ucrânia,2747.0
Aveiro,2022,Áustria,3583.0
Aveiro,2022,Índia,1328.0
Aveiro,2023,Alemanha,43983.0
Aveiro,2023,Angola,2917.0
Aveiro,2023,Argentina,3351.0
Aveiro,2023,Austrália,4090.0
Aveiro,2023,Brasil,50066.0
Aveiro,2023,Bulgária,6249.0
Aveiro,2023,Bélgica,10122.0
Aveiro,2023,Canadá,10427.0
Aveiro,2023,China,7288.0
Aveiro,2023,Chipre,181.0
Aveiro,2023,Chéquia,3256.0
Aveiro,2023,Coreia (República da),5002.0
Aveiro,2023,Croácia,1869.0
Aveiro,2023,Dinamarca,4637.0
Aveiro,2023,Eslováquia,1365.0
Aveiro,2023,Eslovénia,974.0
Aveiro,2023,Espanha,214452.0
Aveiro,2023,Estados Unidos da América,29574.0
Aveiro,2023,Estrangeiro,673977.0
Aveiro,2023,Estónia,720.0
Aveiro,2023,Federação da Rússia,2749.0
Aveiro,2023,Finlândia,2893.0
Aveiro,2023,França,72051.0
