varcd,periodo,ano,mes,geo_cod,geo_dsg,valor,unidade,dim_3,dim_3_t,ind_string,sinal_conv,sinal_conv_desc,concelho,distrito,nivel_geo
0013213,2025,2025,,11D1812,Penedono,78,,03,Turismo no espaço rural e de habitação,78,,,Penedono,Viseu,Município
0013213,2025,2025,,11A1318,Trofa,200,,02,Alojamento local,200,,,Trofa,Porto,Município
0013213,2025,2025,,2004101,Vila do Porto,230,,02,Alojamento local,230,,,Vila do Porto,Região Autónoma dos Açores,Município
0013213,2025,2025,,1920617,Vila Nova de Poiares,337,,03,Turismo no espaço rural e de habitação,337,,,Vila Nova de Poiares,Coimbra,Município
0013213,2025,2025,,1920614,Penela,401,,02,Alojamento local,401,,,Penela,Coimbra,Município
0013213,2025,2025,,11A1314,Santo Tirso,501,,02,Alojamento local,501,,,Santo Tirso,Porto,Município
0013213,2025,2025,,1C31208,Fronteira,502,,02,Alojamento local,502,,,Fronteira,Portalegre,Município
0013213,2025,2025,,1C31215,Sousel,542,,02,Alojamento local,542,,,Sousel,Portalegre,Município
0013213,2025,2025,,1920612,Pampilhosa da Serra,618,,03,Turismo no espaço rural e de habitação,618,,,Pampilhosa da Serra,Coimbra,Município
0013213,2025,2025,,11B1712,Valpaços,643,,02,Alojamento local,643,,,Valpaços,Vila Real,Município
0013213,2025,2025,,1D21413,Mação,652,,03,Turismo no espaço rural e de habitação,652,,,Mação,Santarém,Município
0013213,2025,2025,,11D1707,Murça,717,,T,Total,717,,,Murça,Vila Real,Município
0013213,2025,2025,,1941811,Penalva do Castelo,722,,02,Alojamento local,722,,,Penalva do Castelo,Viseu,Município
0013213,2025,2025,,1D11112,Sobral de Monte Agraço,726,,02,Alojamento local,726,,,Sobral de Monte Agraço,Lisboa,Município
0013213,2025,2025,,1D11112,Sobral de Monte Agraço,726,,T,Total,726,,,Sobral de Monte Agraço,Lisboa,Município
0013213,2025,2025,,1C31204,Campo Maior,769,,02,Alojamento local,769,,,Campo Maior,Portalegre,Município
0013213,2025,2025,,2004101,Vila do Porto,773,,03,Turismo no espaço rural e de habitação,773,,,Vila do Porto,Região Autónoma dos Açores,Município
0013213,2025,2025,,1C20203,Alvito,838,,03,Turismo no espaço rural e de habitação,838,,,Alvito,Beja,Município
0013213,2025,2025,,1C40708,Mourão,868,,02,Alojamento local,868,,,Mourão,Évora,Município
0013213,2025,2025,,1941803,Castro Daire,880,,03,Turismo no espaço rural e de habitação,880,,,Castro Daire,Viseu,Município
0013213,2025,2025,,2004501,Calheta (R.A.A.),932,,01,Hotelaria,932,,,Calheta (R.A.A.),Região Autónoma dos Açores,Município
0013213,2025,2025,,2004501,Calheta (R.A.A.),932,,0101,Hotéis,932,,,Calheta (R.A.A.),Região Autónoma dos Açores,Município
0013213,2025,2025,,2004501,Calheta (R.A.A.),932,,010112,2 estrelas,932,,,Calheta (R.A.A.),Região Autónoma dos Açores,Município
0013213,2025,2025,,1C40710,Redondo,972,,02,Alojamento local,972,,,Redondo,Évora,Município
0013213,2025,2025,,1931015,Pombal,1003,,03,Turismo no espaço rural e de habitação,1 003,,,Pombal,Leiria,Município
0013213,2025,2025,,11D1815,São João da Pesqueira,1027,,02,Alojamento local,1 027,,,São João da Pesqueira,Viseu,Município
0013213,2025,2025,,11D1812,Penedono,1060,,01,Hotelaria,1 060,,,Penedono,Viseu,Município
0013213,2025,2025,,11D1812,Penedono,1060,,0101,Hotéis,1 060,,,Penedono,Viseu,Município
0013213,2025,2025,,11D1812,Penedono,1060,,010114,4 estrelas,1 060,,,Penedono,Viseu,Município
0013213,2025,2025,,1931013,Pedrógão Grande,1101,,T,Total,1 101,,,Pedrógão Grande,Leiria,Município
0013213,2025,2025,,1950510,Vila de Rei,1109,,02,Alojamento local,1 109,,,Vila de Rei,Castelo Branco,Município
0013213,2025,2025,,1920617,Vila Nova de Poiares,1110,,02,Alojamento local,1 110,,,Vila Nova de Poiares,Coimbra,Município
0013213,2025,2025,,1920612,Pampilhosa da Serra,1136,,02,Alojamento local,1 136,,,Pampilhosa da Serra,Coimbra,Município
0013213,2025,2025,,11D1812,Penedono,1138,,T,Total,1 138,,,Penedono,Viseu,Município
0013213,2025,2025,,1950507,Penamacor,1140,,03,Turismo no espaço rural e de habitação,1 140,,,Penamacor,Castelo Branco,Município
0013213,2025,2025,,11A1310,Paredes,1153,,02,Alojamento local,1 153,,,Paredes,Porto,Município
0013213,2025,2025,,1941821,Tondela,1156,,02,Alojamento local,1 156,,,Tondela,Viseu,Município
