concelho,distrito,ano,mes,valor
Abrantes,Santarém,2020,1,1141.0
Abrantes,Santarém,2020,2,1496.0
Abrantes,Santarém,2020,3,835.0
Abrantes,Santarém,2020,4,207.0
Abrantes,Santarém,2020,5,192.0
Abrantes,Santarém,2020,6,1240.0
Abrantes,Santarém,2020,7,2124.0
Abrantes,Santarém,2020,8,3371.0
Abrantes,Santarém,2020,9,2388.0
Abrantes,Santarém,2020,10,1742.0
Abrantes,Santarém,2020,11,531.0
Abrantes,Santarém,2020,12,554.0
Abrantes,Santarém,2021,1,378.0
Abrantes,Santarém,2021,2,412.0
Abrantes,Santarém,2021,3,367.0
Abrantes,Santarém,2021,4,549.0
Abrantes,Santarém,2021,5,1478.0
Abrantes,Santarém,2021,6,2292.0
Abrantes,Santarém,2021,7,2356.0
Abrantes,Santarém,2021,8,2949.0
Abrantes,Santarém,2021,9,2381.0
Abrantes,Santarém,2021,10,2367.0
Abrantes,Santarém,2021,11,1546.0
Abrantes,Santarém,2021,12,1133.0
Abrantes,Santarém,2022,1,762.0
Abrantes,Santarém,2022,2,1048.0
Abrantes,Santarém,2022,3,1334.0
Abrantes,Santarém,2022,4,2219.0
Abrantes,Santarém,2022,5,2087.0
Abrantes,Santarém,2022,6,2265.0
Abrantes,Santarém,2022,7,2579.0
Abrantes,Santarém,2022,8,3006.0
Abrantes,Santarém,2022,9,2420.0
Abrantes,Santarém,2022,10,2134.0
Abrantes,Santarém,2022,11,1663.0
Abrantes,Santarém,2022,12,1624.0
Abrantes,Santarém,2023,1,1229.0
Abrantes,Santarém,2023,2,1262.0
Abrantes,Santarém,2023,3,1283.0
Abrantes,Santarém,2023,4,2401.0
Abrantes,Santarém,2023,5,1821.0
Abrantes,Santarém,2023,6,2020.0
Abrantes,Santarém,2023,7,2168.0
Abrantes,Santarém,2023,8,3255.0
Abrantes,Santarém,2023,9,2519.0
Abrantes,Santarém,2023,10,2219.0
Abrantes,Santarém,2023,11,1666.0
Abrantes,Santarém,2023,12,1578.0
Abrantes,Santarém,2024,1,1645.0
Abrantes,Santarém,2024,2,1296.0
Abrantes,Santarém,2024,3,1619.0
Abrantes,Santarém,2024,4,2137.0
Abrantes,Santarém,2024,5,2699.0
Abrantes,Santarém,2024,6,2561.0
Abrantes,Santarém,2024,7,3152.0
Abrantes,Santarém,2024,8,3662.0
Abrantes,Santarém,2024,9,2942.0
Abrantes,Santarém,2024,10,2476.0
Abrantes,Santarém,2024,11,2068.0
Abrantes,Santarém,2024,12,1868.0
Abrantes,Santarém,2025,1,1519.0
Abrantes,Santarém,2025,2,1688.0
Abrantes,Santarém,2025,3,1757.0
Abrantes,Santarém,2025,4,2487.0
Abrantes,Santarém,2025,5,2630.0
Abrantes,Santarém,2025,6,2813.0
Abrantes,Santarém,2025,7,2957.0
Abrantes,Santarém,2025,8,3027.0
Abrantes,Santarém,2025,9,2643.0
Abrantes,Santarém,2025,10,1965.0
Abrantes,Santarém,2025,11,1849.0
Abrantes,Santarém,2025,12,1697.0
Abrantes,Santarém,2026,1,1554.0
Abrantes,Santarém,2026,2,1281.0
Abrantes,Santarém,2026,3,1680.0
Abrantes,Santarém,2026,4,2134.0
Abrantes,Santarém,2026,5,2469.0
Abrantes,Santarém,2026,6,2670.0
Abrantes,Santarém,2026,7,2752.0
Aguiar da Beira,Guarda,2020,1,282.0
Aguiar da Beira,Guarda,2020,2,310.0
Aguiar da Beira,Guarda,2020,3,110.0
Aguiar da Beira,Guarda,2020,4,
Aguiar da Beira,Guarda,2020,5,
Aguiar da Beira,Guarda,2020,6,359.0
Aguiar da Beira,Guarda,2020,7,543.0
Aguiar da Beira,Guarda,2020,8,853.0
Aguiar da Beira,Guarda,2020,9,470.0
Aguiar da Beira,Guarda,2020,10,388.0
Aguiar da Beira,Guarda,2020,11,251.0
Aguiar da Beira,Guarda,2020,12,223.0
Aguiar da Beira,Guarda,2021,1,125.0
Aguiar da Beira,Guarda,2021,2,60.0
Aguiar da Beira,Guarda,2021,3,179.0
Aguiar da Beira,Guarda,2021,4,291.0
Aguiar da Beira,Guarda,2021,5,304.0
Aguiar da Beira,Guarda,2021,6,268.0
Aguiar da Beira,Guarda,2021,7,400.0
Aguiar da Beira,Guarda,2021,8,544.0
Aguiar da Beira,Guarda,2021,9,384.0
Aguiar da Beira,Guarda,2021,10,400.0
Aguiar da Beira,Guarda,2021,11,352.0
Aguiar da Beira,Guarda,2021,12,306.0
Aguiar da Beira,Guarda,2022,1,406.0
Aguiar da Beira,Guarda,2022,2,253.0
Aguiar da Beira,Guarda,2022,3,393.0
Aguiar da Beira,Guarda,2022,4,364.0
Aguiar da Beira,Guarda,2022,5,453.0
Aguiar da Beira,Guarda,2022,6,598.0
Aguiar da Beira,Guarda,2022,7,448.0
Aguiar da Beira,Guarda,2022,8,500.0
Aguiar da Beira,Guarda,2022,9,321.0
Aguiar da Beira,Guarda,2022,10,342.0
Aguiar da Beira,Guarda,2022,11,453.0
Aguiar da Beira,Guarda,2022,12,271.0
Aguiar da Beira,Guarda,2023,1,262.0
Aguiar da Beira,Guarda,2023,2,305.0
Aguiar da Beira,Guarda,2023,3,363.0
Aguiar da Beira,Guarda,2023,4,367.0
Aguiar da Beira,Guarda,2023,5,571.0
Aguiar da Beira,Guarda,2023,6,450.0
Aguiar da Beira,Guarda,2023,7,400.0
Aguiar da Beira,Guarda,2023,8,765.0
Aguiar da Beira,Guarda,2023,9,403.0
Aguiar da Beira,Guarda,2023,10,376.0
Aguiar da Beira,Guarda,2023,11,330.0
Aguiar da Beira,Guarda,2023,12,423.0
Aguiar da Beira,Guarda,2024,1,330.0
Aguiar da Beira,Guarda,2024,2,274.0
Aguiar da Beira,Guarda,2024,3,668.0
Aguiar da Beira,Guarda,2024,4,381.0
Aguiar da Beira,Guarda,2024,5,634.0
Aguiar da Beira,Guarda,2024,6,560.0
Aguiar da Beira,Guarda,2024,7,545.0
Aguiar da Beira,Guarda,2024,8,717.0
Aguiar da Beira,Guarda,2024,9,569.0
Aguiar da Beira,Guarda,2024,10,616.0
Aguiar da Beira,Guarda,2024,11,518.0
Aguiar da Beira,Guarda,2024,12,427.0
Aguiar da Beira,Guarda,2025,1,317.0
Aguiar da Beira,Guarda,2025,2,453.0
Aguiar da Beira,Guarda,2025,3,609.0
Aguiar da Beira,Guarda,2025,4,504.0
Aguiar da Beira,Guarda,2025,5,630.0
Aguiar da Beira,Guarda,2025,6,603.0
Aguiar da Beira,Guarda,2025,7,693.0
Aguiar da Beira,Guarda,2025,8,775.0
Aguiar da Beira,Guarda,2025,9,643.0
Aguiar da Beira,Guarda,2025,10,716.0
Aguiar da Beira,Guarda,2025,11,488.0
Aguiar da Beira,Guarda,2025,12,385.0
Aguiar da Beira,Guarda,2026,1,410.0
Aguiar da Beira,Guarda,2026,2,456.0
Aguiar da Beira,Guarda,2026,3,459.0
Aguiar da Beira,Guarda,2026,4,439.0
Aguiar da Beira,Guarda,2026,5,511.0
Aguiar da Beira,Guarda,2026,6,526.0
Aguiar da Beira,Guarda,2026,7,439.0
Alandroal,Évora,2020,1,278.0
Alandroal,Évora,2020,2,333.0
Alandroal,Évora,2020,3,287.0
Alandroal,Évora,2020,4,171.0
Alandroal,Évora,2020,5,220.0
Alandroal,Évora,2020,6,532.0
Alandroal,Évora,2020,7,591.0
Alandroal,Évora,2020,8,972.0
Alandroal,Évora,2020,9,601.0
Alandroal,Évora,2020,10,447.0
Alandroal,Évora,2020,11,258.0
Alandroal,Évora,2020,12,235.0
Alandroal,Évora,2021,1,154.0
Alandroal,Évora,2021,2,153.0
Alandroal,Évora,2021,3,142.0
Alandroal,Évora,2021,4,176.0
Alandroal,Évora,2021,5,365.0
Alandroal,Évora,2021,6,579.0
Alandroal,Évora,2021,7,702.0
Alandroal,Évora,2021,8,967.0
Alandroal,Évora,2021,9,603.0
Alandroal,Évora,2021,10,502.0
Alandroal,Évora,2021,11,322.0
Alandroal,Évora,2021,12,268.0
Alandroal,Évora,2022,1,222.0
Alandroal,Évora,2022,2,327.0
Alandroal,Évora,2022,3,279.0
Alandroal,Évora,2022,4,442.0
Alandroal,Évora,2022,5,460.0
Alandroal,Évora,2022,6,691.0
Alandroal,Évora,2022,7,847.0
Alandroal,Évora,2022,8,1171.0
Alandroal,Évora,2022,9,874.0
Alandroal,Évora,2022,10,495.0
Alandroal,Évora,2022,11,350.0
Alandroal,Évora,2022,12,385.0
Alandroal,Évora,2023,1,377.0
Alandroal,Évora,2023,2,314.0
Alandroal,Évora,2023,3,329.0
Alandroal,Évora,2023,4,675.0
Alandroal,Évora,2023,5,452.0
Alandroal,Évora,2023,6,940.0
Alandroal,Évora,2023,7,1014.0
Alandroal,Évora,2023,8,1785.0
Alandroal,Évora,2023,9,990.0
Alandroal,Évora,2023,10,760.0
Alandroal,Évora,2023,11,476.0
Alandroal,Évora,2023,12,417.0
