distrito,ano,mes,valor
Aveiro,2020,1,37923.0
Aveiro,2020,2,45346.0
Aveiro,2020,3,13586.0
Aveiro,2020,4,656.0
Aveiro,2020,5,2561.0
Aveiro,2020,6,17003.0
Aveiro,2020,7,36113.0
Aveiro,2020,8,72451.0
Aveiro,2020,9,44789.0
Aveiro,2020,10,33986.0
Aveiro,2020,11,11625.0
Aveiro,2020,12,13979.0
Aveiro,2021,1,8175.0
Aveiro,2021,2,6454.0
Aveiro,2021,3,7768.0
Aveiro,2021,4,14660.0
Aveiro,2021,5,39648.0
Aveiro,2021,6,47271.0
Aveiro,2021,7,49621.0
Aveiro,2021,8,82758.0
Aveiro,2021,9,60184.0
Aveiro,2021,10,63197.0
Aveiro,2021,11,42448.0
Aveiro,2021,12,40867.0
Aveiro,2022,1,28305.0
Aveiro,2022,2,38494.0
Aveiro,2022,3,40497.0
Aveiro,2022,4,64760.0
Aveiro,2022,5,66645.0
Aveiro,2022,6,68523.0
Aveiro,2022,7,78853.0
Aveiro,2022,8,97870.0
Aveiro,2022,9,77276.0
Aveiro,2022,10,65258.0
Aveiro,2022,11,43854.0
Aveiro,2022,12,51190.0
Aveiro,2023,1,38151.0
Aveiro,2023,2,43672.0
Aveiro,2023,3,49941.0
Aveiro,2023,4,72335.0
Aveiro,2023,5,72308.0
Aveiro,2023,6,70981.0
Aveiro,2023,7,83333.0
Aveiro,2023,8,102764.0
Aveiro,2023,9,80681.0
Aveiro,2023,10,69679.0
Aveiro,2023,11,47297.0
Aveiro,2023,12,58544.0
Aveiro,2024,1,38345.0
Aveiro,2024,2,45231.0
Aveiro,2024,3,57037.0
Aveiro,2024,4,62073.0
Aveiro,2024,5,79944.0
Aveiro,2024,6,75351.0
Aveiro,2024,7,83793.0
Aveiro,2024,8,107948.0
Aveiro,2024,9,80959.0
Aveiro,2024,10,68889.0
Aveiro,2024,11,57016.0
Aveiro,2024,12,56404.0
Aveiro,2025,1,40271.0
Aveiro,2025,2,39859.0
Aveiro,2025,3,53419.0
Aveiro,2025,4,71594.0
Aveiro,2025,5,83737.0
Aveiro,2025,6,76949.0
Aveiro,2025,7,85044.0
Aveiro,2025,8,105494.0
Aveiro,2025,9,83369.0
Aveiro,2025,10,71525.0
Aveiro,2025,11,57407.0
Aveiro,2025,12,61914.0
Aveiro,2026,1,43659.0
Aveiro,2026,2,43027.0
Aveiro,2026,3,54130.0
Aveiro,2026,4,70707.0
Aveiro,2026,5,83315.0
Aveiro,2026,6,76153.0
Beja,2020,1,13439.0
Beja,2020,2,18637.0
Beja,2020,3,8392.0
Beja,2020,4,876.0
Beja,2020,5,5002.0
Beja,2020,6,22445.0
Beja,2020,7,33261.0
Beja,2020,8,42439.0
Beja,2020,9,33182.0
Beja,2020,10,23916.0
Beja,2020,11,8790.0
Beja,2020,12,9084.0
Beja,2021,1,4849.0
Beja,2021,2,3933.0
Beja,2021,3,6672.0
Beja,2021,4,11590.0
Beja,2021,5,22755.0
Beja,2021,6,30458.0
Beja,2021,7,37667.0
Beja,2021,8,49148.0
Beja,2021,9,38737.0
Beja,2021,10,32814.0
Beja,2021,11,19856.0
Beja,2021,12,13238.0
Beja,2022,1,11422.0
Beja,2022,2,16976.0
Beja,2022,3,19731.0
Beja,2022,4,30827.0
Beja,2022,5,33718.0
Beja,2022,6,33871.0
Beja,2022,7,38580.0
Beja,2022,8,49827.0
Beja,2022,9,39456.0
Beja,2022,10,32488.0
Beja,2022,11,19179.0
Beja,2022,12,16182.0
Beja,2023,1,13821.0
Beja,2023,2,18893.0
Beja,2023,3,24043.0
Beja,2023,4,39709.0
Beja,2023,5,36593.0
Beja,2023,6,39735.0
Beja,2023,7,43069.0
Beja,2023,8,53708.0
Beja,2023,9,46327.0
Beja,2023,10,37617.0
Beja,2023,11,21304.0
Beja,2023,12,19765.0
Beja,2024,1,13615.0
Beja,2024,2,19276.0
Beja,2024,3,29567.0
Beja,2024,4,36952.0
Beja,2024,5,43895.0
Beja,2024,6,41844.0
Beja,2024,7,44320.0
Beja,2024,8,57317.0
Beja,2024,9,47544.0
Beja,2024,10,37983.0
Beja,2024,11,26767.0
Beja,2024,12,19192.0
Beja,2025,1,15161.0
Beja,2025,2,19318.0
Beja,2025,3,27194.0
Beja,2025,4,42393.0
Beja,2025,5,48614.0
Beja,2025,6,47683.0
Beja,2025,7,49256.0
Beja,2025,8,61796.0
Beja,2025,9,52141.0
Beja,2025,10,42199.0
Beja,2025,11,26482.0
Beja,2025,12,19218.0
Beja,2026,1,14318.0
Beja,2026,2,18467.0
Beja,2026,3,30096.0
Beja,2026,4,46353.0
Beja,2026,5,49851.0
Beja,2026,6,50842.0
Braga,2020,1,43873.0
Braga,2020,2,50935.0
Braga,2020,3,19199.0
Braga,2020,4,2427.0
Braga,2020,5,6748.0
Braga,2020,6,23502.0
Braga,2020,7,52404.0
Braga,2020,8,84670.0
Braga,2020,9,56706.0
Braga,2020,10,39326.0
Braga,2020,11,15300.0
Braga,2020,12,18865.0
Braga,2021,1,13636.0
Braga,2021,2,11387.0
Braga,2021,3,12861.0
Braga,2021,4,20735.0
Braga,2021,5,40071.0
Braga,2021,6,51129.0
Braga,2021,7,65623.0
Braga,2021,8,101380.0
Braga,2021,9,71791.0
Braga,2021,10,69237.0
Braga,2021,11,46994.0
Braga,2021,12,42593.0
Braga,2022,1,29302.0
Braga,2022,2,42075.0
Braga,2022,3,46636.0
Braga,2022,4,73998.0
Braga,2022,5,77153.0
Braga,2022,6,79543.0
Braga,2022,7,94071.0
Braga,2022,8,122039.0
Braga,2022,9,90797.0
Braga,2022,10,74703.0
Braga,2022,11,53047.0
Braga,2022,12,57957.0
Braga,2023,1,40375.0
Braga,2023,2,45851.0
Braga,2023,3,52388.0
Braga,2023,4,83979.0
Braga,2023,5,83267.0
Braga,2023,6,84246.0
Braga,2023,7,99562.0
Braga,2023,8,125894.0
Braga,2023,9,102827.0
Braga,2023,10,80536.0
Braga,2023,11,53831.0
Braga,2023,12,65128.0
Braga,2024,1,43338.0
Braga,2024,2,48671.0
Braga,2024,3,59770.0
Braga,2024,4,73713.0
Braga,2024,5,91316.0
Braga,2024,6,91114.0
Braga,2024,7,98338.0
Braga,2024,8,129939.0
Braga,2024,9,102004.0
Braga,2024,10,82637.0
Braga,2024,11,64464.0
Braga,2024,12,64263.0
Braga,2025,1,46967.0
Braga,2025,2,50616.0
Braga,2025,3,66611.0
Braga,2025,4,85618.0
Braga,2025,5,97952.0
Braga,2025,6,93306.0
Braga,2025,7,102500.0
Braga,2025,8,127777.0
Braga,2025,9,104477.0
Braga,2025,10,85707.0
Braga,2025,11,64394.0
Braga,2025,12,65265.0
Braga,2026,1,51359.0
Braga,2026,2,53396.0
Braga,2026,3,66662.0
Braga,2026,4,90196.0
Braga,2026,5,101678.0
Braga,2026,6,95849.0
Bragança,2020,1,8293.0
Bragança,2020,2,12751.0
Bragança,2020,3,4179.0
Bragança,2020,4,670.0
Bragança,2020,5,1330.0
Bragança,2020,6,5712.0
Bragança,2020,7,11560.0
Bragança,2020,8,22185.0
Bragança,2020,9,13558.0
Bragança,2020,10,8729.0
Bragança,2020,11,4034.0
Bragança,2020,12,3703.0
Bragança,2021,1,2022.0
Bragança,2021,2,1830.0
Bragança,2021,3,2586.0
Bragança,2021,4,4606.0
Bragança,2021,5,9046.0
Bragança,2021,6,11552.0
Bragança,2021,7,13869.0
Bragança,2021,8,25343.0
Bragança,2021,9,16251.0
Bragança,2021,10,15497.0
Bragança,2021,11,9201.0
Bragança,2021,12,7247.0
