varcd,periodo,ano,mes,geo_cod,geo_dsg,valor,unidade,dim_3,dim_3_t,ind_string,sinal_conv,sinal_conv_desc,concelho,distrito,nivel_geo
0013212,2025,2025,,1111601,Arcos de Valdevez,1,,MA,Marrocos,1,,,Arcos de Valdevez,Viana do Castelo,Município
0013212,2025,2025,,1111603,Melgaço,1,,SI,Eslovénia,1,,,Melgaço,Viana do Castelo,Município
0013212,2025,2025,,1111603,Melgaço,1,,SK,Eslováquia,1,,,Melgaço,Viana do Castelo,Município
0013212,2025,2025,,1111604,Monção,1,,SI,Eslovénia,1,,,Monção,Viana do Castelo,Município
0013212,2025,2025,,1111605,Paredes de Coura,1,,HU,Hungria,1,,,Paredes de Coura,Viana do Castelo,Município
0013212,2025,2025,,1111605,Paredes de Coura,1,,LU,Luxemburgo,1,,,Paredes de Coura,Viana do Castelo,Município
0013212,2025,2025,,1111605,Paredes de Coura,1,,UA,Ucrânia,1,,,Paredes de Coura,Viana do Castelo,Município
0013212,2025,2025,,1111606,Ponte da Barca,1,,AO,Angola,1,,,Ponte da Barca,Viana do Castelo,Município
0013212,2025,2025,,1111606,Ponte da Barca,1,,LT,Lituânia,1,,,Ponte da Barca,Viana do Castelo,Município
0013212,2025,2025,,1111610,Vila Nova de Cerveira,1,,LV,Letónia,1,,,Vila Nova de Cerveira,Viana do Castelo,Município
0013212,2025,2025,,1111610,Vila Nova de Cerveira,1,,SK,Eslováquia,1,,,Vila Nova de Cerveira,Viana do Castelo,Município
0013212,2025,2025,,1120313,Vila Verde,1,,JP,Japão,1,,,Vila Verde,Braga,Município
0013212,2025,2025,,1120313,Vila Verde,1,,KR,Coreia (República da),1,,,Vila Verde,Braga,Município
0013212,2025,2025,,1120313,Vila Verde,1,,MT,Malta,1,,,Vila Verde,Braga,Município
0013212,2025,2025,,1120313,Vila Verde,1,,RS,Sérvia,1,,,Vila Verde,Braga,Município
0013212,2025,2025,,1120313,Vila Verde,1,,SI,Eslovénia,1,,,Vila Verde,Braga,Município
0013212,2025,2025,,1190304,Cabeceiras de Basto,1,,CZ,Chéquia,1,,,Cabeceiras de Basto,Braga,Município
0013212,2025,2025,,1190304,Cabeceiras de Basto,1,,PL,Polónia,1,,,Cabeceiras de Basto,Braga,Município
0013212,2025,2025,,1190304,Cabeceiras de Basto,1,,RO,Roménia,1,,,Cabeceiras de Basto,Braga,Município
0013212,2025,2025,,1190304,Cabeceiras de Basto,1,,UA,Ucrânia,1,,,Cabeceiras de Basto,Braga,Município
0013212,2025,2025,,1190307,Fafe,1,,KR,Coreia (República da),1,,,Fafe,Braga,Município
