concelho,distrito,ano,dim_3_t,valor
Abrantes,Santarém,2020,Alemanha,142.0
Abrantes,Santarém,2020,Angola,
Abrantes,Santarém,2020,Argentina,
Abrantes,Santarém,2020,Austrália,1.0
Abrantes,Santarém,2020,Brasil,41.0
Abrantes,Santarém,2020,Bulgária,2.0
Abrantes,Santarém,2020,Bélgica,34.0
Abrantes,Santarém,2020,Canadá,7.0
Abrantes,Santarém,2020,China,10.0
Abrantes,Santarém,2020,Chipre,
Abrantes,Santarém,2020,Chéquia,
Abrantes,Santarém,2020,Coreia (República da),
Abrantes,Santarém,2020,Croácia,
Abrantes,Santarém,2020,Dinamarca,13.0
Abrantes,Santarém,2020,Eslováquia,
Abrantes,Santarém,2020,Eslovénia,1.0
Abrantes,Santarém,2020,Espanha,415.0
Abrantes,Santarém,2020,Estados Unidos da América,9.0
Abrantes,Santarém,2020,Estrangeiro,1115.0
Abrantes,Santarém,2020,Estónia,1.0
Abrantes,Santarém,2020,Federação da Rússia,10.0
Abrantes,Santarém,2020,Finlândia,17.0
Abrantes,Santarém,2020,França,110.0
Abrantes,Santarém,2020,Grécia,11.0
Abrantes,Santarém,2020,Hungria,
Abrantes,Santarém,2020,Irlanda,1.0
Abrantes,Santarém,2020,Israel,
Abrantes,Santarém,2020,Itália,70.0
Abrantes,Santarém,2020,Japão,3.0
Abrantes,Santarém,2020,Letónia,
Abrantes,Santarém,2020,Lituânia,
Abrantes,Santarém,2020,Luxemburgo,2.0
Abrantes,Santarém,2020,Malta,
Abrantes,Santarém,2020,Marrocos,3.0
Abrantes,Santarém,2020,México,
Abrantes,Santarém,2020,Noruega,1.0
Abrantes,Santarém,2020,Outros,8.0
Abrantes,Santarém,2020,Países Baixos (Reino dos),45.0
Abrantes,Santarém,2020,Polónia,18.0
Abrantes,Santarém,2020,Portugal,14706.0
Abrantes,Santarém,2020,Reino Unido da Grã-Bretanha e Irlanda do Norte,75.0
Abrantes,Santarém,2020,Roménia,1.0
Abrantes,Santarém,2020,Suécia,22.0
Abrantes,Santarém,2020,Suíça,28.0
Abrantes,Santarém,2020,Sérvia,
Abrantes,Santarém,2020,Total,15821.0
Abrantes,Santarém,2020,Turquia,9.0
Abrantes,Santarém,2020,Ucrânia,3.0
Abrantes,Santarém,2020,Áustria,1.0
Abrantes,Santarém,2020,Índia,1.0
Abrantes,Santarém,2021,Alemanha,188.0
Abrantes,Santarém,2021,Angola,
Abrantes,Santarém,2021,Argentina,1.0
Abrantes,Santarém,2021,Austrália,
Abrantes,Santarém,2021,Brasil,53.0
Abrantes,Santarém,2021,Bulgária,
Abrantes,Santarém,2021,Bélgica,39.0
Abrantes,Santarém,2021,Canadá,3.0
Abrantes,Santarém,2021,China,4.0
Abrantes,Santarém,2021,Chipre,
Abrantes,Santarém,2021,Chéquia,
Abrantes,Santarém,2021,Coreia (República da),2.0
Abrantes,Santarém,2021,Croácia,
Abrantes,Santarém,2021,Dinamarca,24.0
Abrantes,Santarém,2021,Eslováquia,4.0
Abrantes,Santarém,2021,Eslovénia,
Abrantes,Santarém,2021,Espanha,515.0
Abrantes,Santarém,2021,Estados Unidos da América,30.0
Abrantes,Santarém,2021,Estrangeiro,1599.0
Abrantes,Santarém,2021,Estónia,6.0
Abrantes,Santarém,2021,Federação da Rússia,25.0
Abrantes,Santarém,2021,Finlândia,34.0
Abrantes,Santarém,2021,França,251.0
Abrantes,Santarém,2021,Grécia,5.0
Abrantes,Santarém,2021,Hungria,5.0
Abrantes,Santarém,2021,Irlanda,8.0
Abrantes,Santarém,2021,Israel,44.0
Abrantes,Santarém,2021,Itália,46.0
Abrantes,Santarém,2021,Japão,6.0
Abrantes,Santarém,2021,Letónia,4.0
Abrantes,Santarém,2021,Lituânia,
Abrantes,Santarém,2021,Luxemburgo,9.0
Abrantes,Santarém,2021,Malta,
Abrantes,Santarém,2021,Marrocos,
Abrantes,Santarém,2021,México,
Abrantes,Santarém,2021,Noruega,10.0
Abrantes,Santarém,2021,Outros,49.0
Abrantes,Santarém,2021,Países Baixos (Reino dos),49.0
Abrantes,Santarém,2021,Polónia,6.0
Abrantes,Santarém,2021,Portugal,16609.0
Abrantes,Santarém,2021,Reino Unido da Grã-Bretanha e Irlanda do Norte,81.0
Abrantes,Santarém,2021,Roménia,10.0
Abrantes,Santarém,2021,Suécia,38.0
Abrantes,Santarém,2021,Suíça,29.0
Abrantes,Santarém,2021,Sérvia,
Abrantes,Santarém,2021,Total,18208.0
Abrantes,Santarém,2021,Turquia,3.0
Abrantes,Santarém,2021,Ucrânia,2.0
Abrantes,Santarém,2021,Áustria,16.0
Abrantes,Santarém,2021,Índia,
Abrantes,Santarém,2022,Alemanha,226.0
Abrantes,Santarém,2022,Angola,14.0
Abrantes,Santarém,2022,Argentina,6.0
Abrantes,Santarém,2022,Austrália,6.0
Abrantes,Santarém,2022,Brasil,169.0
Abrantes,Santarém,2022,Bulgária,1.0
Abrantes,Santarém,2022,Bélgica,164.0
Abrantes,Santarém,2022,Canadá,24.0
Abrantes,Santarém,2022,China,7.0
Abrantes,Santarém,2022,Chipre,
Abrantes,Santarém,2022,Chéquia,9.0
Abrantes,Santarém,2022,Coreia (República da),9.0
Abrantes,Santarém,2022,Croácia,
Abrantes,Santarém,2022,Dinamarca,22.0
Abrantes,Santarém,2022,Eslováquia,6.0
Abrantes,Santarém,2022,Eslovénia,
Abrantes,Santarém,2022,Espanha,856.0
Abrantes,Santarém,2022,Estados Unidos da América,129.0
Abrantes,Santarém,2022,Estrangeiro,3206.0
Abrantes,Santarém,2022,Estónia,3.0
Abrantes,Santarém,2022,Federação da Rússia,17.0
Abrantes,Santarém,2022,Finlândia,28.0
Abrantes,Santarém,2022,França,489.0
Abrantes,Santarém,2022,Grécia,2.0
Abrantes,Santarém,2022,Hungria,13.0
Abrantes,Santarém,2022,Irlanda,24.0
Abrantes,Santarém,2022,Israel,52.0
Abrantes,Santarém,2022,Itália,158.0
Abrantes,Santarém,2022,Japão,32.0
Abrantes,Santarém,2022,Letónia,4.0
Abrantes,Santarém,2022,Lituânia,11.0
Abrantes,Santarém,2022,Luxemburgo,19.0
Abrantes,Santarém,2022,Malta,
Abrantes,Santarém,2022,Marrocos,4.0
Abrantes,Santarém,2022,México,2.0
Abrantes,Santarém,2022,Noruega,6.0
Abrantes,Santarém,2022,Outros,80.0
Abrantes,Santarém,2022,Países Baixos (Reino dos),116.0
Abrantes,Santarém,2022,Polónia,13.0
Abrantes,Santarém,2022,Portugal,19935.0
Abrantes,Santarém,2022,Reino Unido da Grã-Bretanha e Irlanda do Norte,258.0
Abrantes,Santarém,2022,Roménia,7.0
Abrantes,Santarém,2022,Suécia,27.0
Abrantes,Santarém,2022,Suíça,150.0
Abrantes,Santarém,2022,Sérvia,
Abrantes,Santarém,2022,Total,23141.0
Abrantes,Santarém,2022,Turquia,10.0
Abrantes,Santarém,2022,Ucrânia,15.0
Abrantes,Santarém,2022,Áustria,5.0
Abrantes,Santarém,2022,Índia,13.0
Abrantes,Santarém,2023,Alemanha,182.0
Abrantes,Santarém,2023,Angola,34.0
Abrantes,Santarém,2023,Argentina,13.0
Abrantes,Santarém,2023,Austrália,13.0
Abrantes,Santarém,2023,Brasil,184.0
Abrantes,Santarém,2023,Bulgária,2.0
Abrantes,Santarém,2023,Bélgica,74.0
Abrantes,Santarém,2023,Canadá,57.0
Abrantes,Santarém,2023,China,11.0
Abrantes,Santarém,2023,Chipre,
Abrantes,Santarém,2023,Chéquia,22.0
Abrantes,Santarém,2023,Coreia (República da),4.0
Abrantes,Santarém,2023,Croácia,1.0
Abrantes,Santarém,2023,Dinamarca,12.0
Abrantes,Santarém,2023,Eslováquia,2.0
Abrantes,Santarém,2023,Eslovénia,2.0
Abrantes,Santarém,2023,Espanha,1184.0
Abrantes,Santarém,2023,Estados Unidos da América,132.0
Abrantes,Santarém,2023,Estrangeiro,3479.0
Abrantes,Santarém,2023,Estónia,1.0
Abrantes,Santarém,2023,Federação da Rússia,14.0
Abrantes,Santarém,2023,Finlândia,86.0
Abrantes,Santarém,2023,França,456.0
Abrantes,Santarém,2023,Grécia,3.0
Abrantes,Santarém,2023,Hungria,8.0
Abrantes,Santarém,2023,Irlanda,57.0
Abrantes,Santarém,2023,Israel,44.0
Abrantes,Santarém,2023,Itália,119.0
Abrantes,Santarém,2023,Japão,26.0
Abrantes,Santarém,2023,Letónia,8.0
Abrantes,Santarém,2023,Lituânia,3.0
Abrantes,Santarém,2023,Luxemburgo,8.0
Abrantes,Santarém,2023,Malta,
Abrantes,Santarém,2023,Marrocos,1.0
Abrantes,Santarém,2023,México,2.0
Abrantes,Santarém,2023,Noruega,18.0
Abrantes,Santarém,2023,Outros,90.0
Abrantes,Santarém,2023,Países Baixos (Reino dos),100.0
Abrantes,Santarém,2023,Polónia,36.0
Abrantes,Santarém,2023,Portugal,19942.0
Abrantes,Santarém,2023,Reino Unido da Grã-Bretanha e Irlanda do Norte,264.0
Abrantes,Santarém,2023,Roménia,23.0
Abrantes,Santarém,2023,Suécia,41.0
Abrantes,Santarém,2023,Suíça,61.0
Abrantes,Santarém,2023,Sérvia,1.0
Abrantes,Santarém,2023,Total,23421.0
Abrantes,Santarém,2023,Turquia,12.0
Abrantes,Santarém,2023,Ucrânia,30.0
Abrantes,Santarém,2023,Áustria,22.0
Abrantes,Santarém,2023,Índia,16.0
Abrantes,Santarém,2024,Alemanha,198.0
Abrantes,Santarém,2024,Angola,34.0
Abrantes,Santarém,2024,Argentina,1.0
Abrantes,Santarém,2024,Austrália,14.0
Abrantes,Santarém,2024,Brasil,243.0
Abrantes,Santarém,2024,Bulgária,1.0
Abrantes,Santarém,2024,Bélgica,185.0
Abrantes,Santarém,2024,Canadá,57.0
Abrantes,Santarém,2024,China,33.0
Abrantes,Santarém,2024,Chipre,1.0
Abrantes,Santarém,2024,Chéquia,18.0
Abrantes,Santarém,2024,Coreia (República da),2.0
Abrantes,Santarém,2024,Croácia,
Abrantes,Santarém,2024,Dinamarca,12.0
Abrantes,Santarém,2024,Eslováquia,7.0
Abrantes,Santarém,2024,Eslovénia,10.0
Abrantes,Santarém,2024,Espanha,1216.0
Abrantes,Santarém,2024,Estados Unidos da América,137.0
Abrantes,Santarém,2024,Estrangeiro,4060.0
Abrantes,Santarém,2024,Estónia,11.0
Abrantes,Santarém,2024,Federação da Rússia,31.0
Abrantes,Santarém,2024,Finlândia,40.0
Abrantes,Santarém,2024,França,512.0
Abrantes,Santarém,2024,Grécia,6.0
Abrantes,Santarém,2024,Hungria,8.0
Abrantes,Santarém,2024,Irlanda,74.0
Abrantes,Santarém,2024,Israel,30.0
Abrantes,Santarém,2024,Itália,109.0
