distrito,ano,dim_3_t,valor
Aveiro,2020,Alemanha,4546.0
Aveiro,2020,Angola,171.0
Aveiro,2020,Argentina,128.0
Aveiro,2020,Austrália,113.0
Aveiro,2020,Brasil,5644.0
Aveiro,2020,Bulgária,89.0
Aveiro,2020,Bélgica,1431.0
Aveiro,2020,Canadá,404.0
Aveiro,2020,China,1408.0
Aveiro,2020,Chipre,16.0
Aveiro,2020,Chéquia,309.0
Aveiro,2020,Coreia (República da),141.0
Aveiro,2020,Croácia,68.0
Aveiro,2020,Dinamarca,274.0
Aveiro,2020,Eslováquia,86.0
Aveiro,2020,Eslovénia,62.0
Aveiro,2020,Espanha,36493.0
Aveiro,2020,Estados Unidos da América,860.0
Aveiro,2020,Estrangeiro,78251.0
Aveiro,2020,Estónia,52.0
Aveiro,2020,Federação da Rússia,636.0
Aveiro,2020,Finlândia,146.0
Aveiro,2020,França,10148.0
Aveiro,2020,Grécia,92.0
Aveiro,2020,Hungria,116.0
Aveiro,2020,Irlanda,345.0
Aveiro,2020,Israel,225.0
Aveiro,2020,Itália,2715.0
Aveiro,2020,Japão,1187.0
Aveiro,2020,Letónia,63.0
Aveiro,2020,Lituânia,103.0
Aveiro,2020,Luxemburgo,314.0
Aveiro,2020,Malta,25.0
Aveiro,2020,Marrocos,81.0
Aveiro,2020,México,111.0
Aveiro,2020,Noruega,107.0
Aveiro,2020,Outros,1577.0
Aveiro,2020,Países Baixos (Reino dos),1828.0
Aveiro,2020,Polónia,797.0
Aveiro,2020,Portugal,262809.0
Aveiro,2020,Reino Unido da Grã-Bretanha e Irlanda do Norte,1917.0
Aveiro,2020,Roménia,495.0
Aveiro,2020,Suécia,272.0
Aveiro,2020,Suíça,1655.0
Aveiro,2020,Sérvia,13.0
Aveiro,2020,Total,341060.0
Aveiro,2020,Turquia,139.0
Aveiro,2020,Ucrânia,463.0
Aveiro,2020,Áustria,232.0
Aveiro,2020,Índia,154.0
Aveiro,2021,Alemanha,6507.0
Aveiro,2021,Angola,276.0
Aveiro,2021,Argentina,128.0
Aveiro,2021,Austrália,147.0
Aveiro,2021,Brasil,5297.0
Aveiro,2021,Bulgária,139.0
Aveiro,2021,Bélgica,2608.0
Aveiro,2021,Canadá,484.0
Aveiro,2021,China,422.0
Aveiro,2021,Chipre,33.0
Aveiro,2021,Chéquia,539.0
Aveiro,2021,Coreia (República da),139.0
Aveiro,2021,Croácia,75.0
Aveiro,2021,Dinamarca,724.0
Aveiro,2021,Eslováquia,136.0
Aveiro,2021,Eslovénia,139.0
Aveiro,2021,Espanha,53060.0
Aveiro,2021,Estados Unidos da América,2873.0
Aveiro,2021,Estrangeiro,114698.0
Aveiro,2021,Estónia,128.0
Aveiro,2021,Federação da Rússia,516.0
Aveiro,2021,Finlândia,352.0
Aveiro,2021,França,16072.0
Aveiro,2021,Grécia,272.0
Aveiro,2021,Hungria,244.0
Aveiro,2021,Irlanda,631.0
Aveiro,2021,Israel,743.0
