varcd,periodo,ano,mes,geo_cod,geo_dsg,valor,unidade,dim_3,dim_3_t,dim_4,dim_4_t,ind_string,concelho,distrito,nivel_geo
0008273,2023,2023,,16G1822,Vila Nova de Paiva,106,,1,H,41,30 - 34 anos,106,Vila Nova de Paiva,Viseu,Município
0008273,2023,2023,,16G1823,Viseu,2880,,1,H,41,30 - 34 anos,2 880,Viseu,Viseu,Município
0008273,2023,2023,,16G1824,Vouzela,245,,1,H,41,30 - 34 anos,245,Vouzela,Viseu,Município
0008273,2023,2023,,16H0508,Proença-a-Nova,149,,1,H,41,30 - 34 anos,149,Proença-a-Nova,Castelo Branco,Município
0008273,2023,2023,,16H,Beira Baixa,2202,,1,H,41,30 - 34 anos,2 202,Beira Baixa,,Agregado (NUTS/Continente)
0008273,2023,2023,,16H0502,Castelo Branco,1594,,1,H,41,30 - 34 anos,1 594,Castelo Branco,Castelo Branco,Município
0008273,2023,2023,,16H0505,Idanha-a-Nova,227,,1,H,41,30 - 34 anos,227,Idanha-a-Nova,Castelo Branco,Município
0008273,2023,2023,,16H0506,Oleiros,69,,1,H,41,30 - 34 anos,69,Oleiros,Castelo Branco,Município
0008273,2023,2023,,16H0507,Penamacor,84,,1,H,41,30 - 34 anos,84,Penamacor,Castelo Branco,Município
0008273,2023,2023,,16I1417,Sardoal,89,,1,H,41,30 - 34 anos,89,Sardoal,Santarém,Município
0008273,2023,2023,,16I1418,Tomar,901,,1,H,41,30 - 34 anos,901,Tomar,Santarém,Município
0008273,2023,2023,,16I1419,Torres Novas,847,,1,H,41,30 - 34 anos,847,Torres Novas,Santarém,Município
0008273,2023,2023,,16I1420,Vila Nova da Barquinha,184,,1,H,41,30 - 34 anos,184,Vila Nova da Barquinha,Santarém,Município
0008273,2023,2023,,16I1421,Ourém,1474,,1,H,41,30 - 34 anos,1 474,Ourém,Santarém,Município
0008273,2023,2023,,16J,Beiras e Serra da Estrela,5199,,1,H,41,30 - 34 anos,5 199,Beiras e Serra da Estrela,,Agregado (NUTS/Continente)
0008273,2023,2023,,16J0501,Belmonte,145,,1,H,41,30 - 34 anos,145,Belmonte,Castelo Branco,Município
0008273,2023,2023,,16J0503,Covilhã,1461,,1,H,41,30 - 34 anos,1 461,Covilhã,Castelo Branco,Município
0008273,2023,2023,,16J0504,Fundão,728,,1,H,41,30 - 34 anos,728,Fundão,Castelo Branco,Município
0008273,2023,2023,,16J0902,Almeida,118,,1,H,41,30 - 34 anos,118,Almeida,Guarda,Município
0008273,2023,2023,,16I,Médio Tejo,6165,,1,H,41,30 - 34 anos,6 165,Médio Tejo,,Agregado (NUTS/Continente)
0008273,2023,2023,,16I0509,Sertã,317,,1,H,41,30 - 34 anos,317,Sertã,Castelo Branco,Município
0008273,2023,2023,,16H0511,Vila Velha de Ródão,79,,1,H,41,30 - 34 anos,79,Vila Velha de Ródão,Castelo Branco,Município
0008273,2023,2023,,16I0510,Vila de Rei,68,,1,H,41,30 - 34 anos,68,Vila de Rei,Castelo Branco,Município
0008273,2023,2023,,16I1410,Entroncamento,699,,1,H,41,30 - 34 anos,699,Entroncamento,Santarém,Município
0008273,2023,2023,,16I1401,Abrantes,795,,1,H,41,30 - 34 anos,795,Abrantes,Santarém,Município
0008273,2023,2023,,16I1402,Alcanena,327,,1,H,41,30 - 34 anos,327,Alcanena,Santarém,Município
0008273,2023,2023,,16I1408,Constância,103,,1,H,41,30 - 34 anos,103,Constância,Santarém,Município
