varcd,periodo,ano,mes,geo_cod,geo_dsg,valor,unidade,dim_3,dim_3_t,ind_string,sinal_conv,sinal_conv_desc,concelho,distrito,nivel_geo
0009877,2025,2025,,1861214,Portalegre,20136,,01,Hotelaria,20 136,,,Portalegre,Portalegre,Município
0009877,2025,2025,,1861215,Sousel,,,01,Hotelaria,-,-,Dado nulo ou não aplicável,Sousel,Portalegre,Município
0009877,2025,2025,,187,Alentejo Central,792422,,01,Hotelaria,792 422,,,Alentejo Central,,Agregado (NUTS/Continente)
0009877,2025,2025,,1870701,Alandroal,,,01,Hotelaria,-,-,Dado nulo ou não aplicável,Alandroal,Évora,Município
0009877,2025,2025,,1870702,Arraiolos,,,01,Hotelaria,…,…,Dado confidencial,Arraiolos,Évora,Município
0009877,2025,2025,,1870703,Borba,,,01,Hotelaria,-,-,Dado nulo ou não aplicável,Borba,Évora,Município
0009877,2025,2025,,1870704,Estremoz,56437,,01,Hotelaria,56 437,,,Estremoz,Évora,Município
0009877,2025,2025,,1870705,Évora,630270,,01,Hotelaria,630 270,,,Évora,Évora,Município
0009877,2025,2025,,1870706,Montemor-o-Novo,,,01,Hotelaria,…,…,Dado confidencial,Montemor-o-Novo,Évora,Município
0009877,2025,2025,,1870707,Mora,,,01,Hotelaria,-,-,Dado nulo ou não aplicável,Mora,Évora,Município
0009877,2025,2025,,1870708,Mourão,,,01,Hotelaria,-,-,Dado nulo ou não aplicável,Mourão,Évora,Município
0009877,2025,2025,,1870709,Portel,,,01,Hotelaria,-,-,Dado nulo ou não aplicável,Portel,Évora,Município
0009877,2025,2025,,1870710,Redondo,,,01,Hotelaria,-,-,Dado nulo ou não aplicável,Redondo,Évora,Município
0009877,2025,2025,,1870711,Reguengos de Monsaraz,24668,,01,Hotelaria,24 668,,,Reguengos de Monsaraz,Évora,Município
0009877,2025,2025,,1870712,Vendas Novas,,,01,Hotelaria,…,…,Dado confidencial,Vendas Novas,Évora,Município
0009877,2025,2025,,1870713,Viana do Alentejo,,,01,Hotelaria,…,…,Dado confidencial,Viana do Alentejo,Évora,Município
0009877,2025,2025,,1870714,Vila Viçosa,41230,,01,Hotelaria,41 230,,,Vila Viçosa,Évora,Município
0009877,2025,2025,,2,Região Autónoma dos Açores,2313856,,01,Hotelaria,2 313 856,,,Região Autónoma dos Açores,,Agregado (NUTS/Continente)
0009877,2025,2025,,20,Região Autónoma dos Açores,2313856,,01,Hotelaria,2 313 856,,,Região Autónoma dos Açores,,Agregado (NUTS/Continente)
0009877,2025,2025,,2004202,Nordeste,,,01,Hotelaria,…,…,Dado confidencial,Nordeste,Região Autónoma dos Açores,Município
0009877,2025,2025,,200,Região Autónoma dos Açores,2313856,,01,Hotelaria,2 313 856,,,Região Autónoma dos Açores,,Agregado (NUTS/Continente)
0009877,2025,2025,,2004101,Vila do Porto,41041,,01,Hotelaria,41 041,,,Vila do Porto,Região Autónoma dos Açores,Município
0009877,2025,2025,,2004201,Lagoa,126438,,01,Hotelaria,126 438,,,Lagoa,Faro,Município
0009877,2025,2025,,2004203,Ponta Delgada,1204714,,01,Hotelaria,1 204 714,,,Ponta Delgada,Região Autónoma dos Açores,Município
0009877,2025,2025,,2004204,Povoação,104048,,01,Hotelaria,104 048,,,Povoação,Região Autónoma dos Açores,Município
0009877,2025,2025,,2004205,Ribeira Grande,102845,,01,Hotelaria,102 845,,,Ribeira Grande,Região Autónoma dos Açores,Município
0009877,2025,2025,,2004206,Vila Franca do Campo,,,01,Hotelaria,…,…,Dado confidencial,Vila Franca do Campo,Região Autónoma dos Açores,Município
0009877,2025,2025,,2004301,Angra do Heroísmo,305313,,01,Hotelaria,305 313,,,Angra do Heroísmo,Região Autónoma dos Açores,Município
0009877,2025,2025,,2004302,Vila da Praia da Vitória,63991,,01,Hotelaria,63 991,,,Vila da Praia da Vitória,Região Autónoma dos Açores,Município
0009877,2025,2025,,2004401,Santa Cruz da Graciosa,12512,,01,Hotelaria,12 512,,,Santa Cruz da Graciosa,Região Autónoma dos Açores,Município
0009877,2025,2025,,2004501,Calheta,2420,,01,Hotelaria,2 420,,,Calheta,Região Autónoma dos Açores,Município
0009877,2025,2025,,2004502,Velas,31833,,01,Hotelaria,31 833,,,Velas,Região Autónoma dos Açores,Município
0009877,2025,2025,,2004601,Lajes do Pico,8653,,01,Hotelaria,8 653,,,Lajes do Pico,Região Autónoma dos Açores,Município
0009877,2025,2025,,2004602,Madalena,71740,,01,Hotelaria,71 740,,,Madalena,Região Autónoma dos Açores,Município
0009877,2025,2025,,2004603,São Roque do Pico,,,01,Hotelaria,…,…,Dado confidencial,São Roque do Pico,Região Autónoma dos Açores,Município
0009877,2025,2025,,2004701,Horta,132962,,01,Hotelaria,132 962,,,Horta,Região Autónoma dos Açores,Município
0009877,2025,2025,,2004801,Lajes das Flores,,,01,Hotelaria,-,-,Dado nulo ou não aplicável,Lajes das Flores,Região Autónoma dos Açores,Município
0009877,2025,2025,,2004802,Santa Cruz das Flores,16243,,01,Hotelaria,16 243,,,Santa Cruz das Flores,Região Autónoma dos Açores,Município
0009877,2025,2025,,2004901,Corvo,4042,,01,Hotelaria,4 042,,,Corvo,Região Autónoma dos Açores,Município
0009877,2025,2025,,3,Região Autónoma da Madeira,8634697,,01,Hotelaria,8 634 697,,,Região Autónoma da Madeira,,Agregado (NUTS/Continente)
0009877,2025,2025,,30,Região Autónoma da Madeira,8634697,,01,Hotelaria,8 634 697,,,Região Autónoma da Madeira,,Agregado (NUTS/Continente)
0009877,2025,2025,,300,Região Autónoma da Madeira,8634697,,01,Hotelaria,8 634 697,,,Região Autónoma da Madeira,,Agregado (NUTS/Continente)
0009877,2025,2025,,3003101,Calheta,266947,,01,Hotelaria,266 947,,,Calheta,Região Autónoma da Madeira,Município
0009877,2025,2025,,3003102,Câmara de Lobos,199987,,01,Hotelaria,199 987,,,Câmara de Lobos,Região Autónoma da Madeira,Município
0009877,2025,2025,,3003103,Funchal,5777226,,01,Hotelaria,5 777 226,,,Funchal,Região Autónoma da Madeira,Município
0009877,2025,2025,,3003104,Machico,370838,,01,Hotelaria,370 838,,,Machico,Região Autónoma da Madeira,Município
0009877,2025,2025,,3003105,Ponta do Sol,78749,,01,Hotelaria,78 749,,,Ponta do Sol,Região Autónoma da Madeira,Município
0009877,2025,2025,,3003106,Porto Moniz,88199,,01,Hotelaria,88 199,,,Porto Moniz,Região Autónoma da Madeira,Município
0009877,2025,2025,,1500806,Lagoa,1489836,,01,Hotelaria,1 489 836,,,Lagoa,Faro,Município
0009877,2025,2025,,1500807,Lagos,1454423,,01,Hotelaria,1 454 423,,,Lagos,Faro,Município
0009877,2025,2025,,1500808,Loulé,2711105,,01,Hotelaria,2 711 105,,,Loulé,Faro,Município
0009877,2025,2025,,1500809,Monchique,101372,,01,Hotelaria,101 372,,,Monchique,Faro,Município
0009877,2025,2025,,1500810,Olhão,178762,,01,Hotelaria,178 762,,,Olhão,Faro,Município
0009877,2025,2025,,1500811,Portimão,2617375,,01,Hotelaria,2 617 375,,,Portimão,Faro,Município
0009877,2025,2025,,1500812,São Brás de Alportel,,,01,Hotelaria,-,-,Dado nulo ou não aplicável,São Brás de Alportel,Faro,Município
0009877,2025,2025,,1500813,Silves,180420,,01,Hotelaria,180 420,,,Silves,Faro,Município
0009877,2025,2025,,1500814,Tavira,666129,,01,Hotelaria,666 129,,,Tavira,Faro,Município
0009877,2025,2025,,1500815,Vila do Bispo,359028,,01,Hotelaria,359 028,,,Vila do Bispo,Faro,Município
0009877,2025,2025,,1500816,Vila Real de Santo António,923697,,01,Hotelaria,923 697,,,Vila Real de Santo António,Faro,Município
0009877,2025,2025,,16,Centro,6442133,,01,Hotelaria,6 442 133,,,Centro,,Agregado (NUTS/Continente)
0009877,2025,2025,,16B,Oeste,1145605,,01,Hotelaria,1 145 605,,,Oeste,,Agregado (NUTS/Continente)
0009877,2025,2025,,16B1001,Alcobaça,95685,,01,Hotelaria,95 685,,,Alcobaça,Leiria,Município
0009877,2025,2025,,16B1005,Bombarral,,,01,Hotelaria,…,…,Dado confidencial,Bombarral,Leiria,Município
0009877,2025,2025,,16B1006,Caldas da Rainha,182644,,01,Hotelaria,182 644,,,Caldas da Rainha,Leiria,Município
0009877,2025,2025,,11A0119,Vale de Cambra,,,01,Hotelaria,…,…,Dado confidencial,Vale de Cambra,Aveiro,Município
0009877,2025,2025,,11A0109,Santa Maria da Feira,77342,,01,Hotelaria,77 342,,,Santa Maria da Feira,Aveiro,Município
0009877,2025,2025,,11A0113,Oliveira de Azeméis,,,01,Hotelaria,…,…,Dado confidencial,Oliveira de Azeméis,Aveiro,Município
