varcd,periodo,ano,mes,geo_cod,geo_dsg,valor,unidade,dim_3,dim_3_t,ind_string,sinal_conv,sinal_conv_desc,concelho,distrito,nivel_geo
0009183,2025,2025,,1111605,Paredes de Coura,1,,HU,Hungria,1,,,Paredes de Coura,Viana do Castelo,Município
0009183,2025,2025,,1111605,Paredes de Coura,1,,LU,Luxemburgo,1,,,Paredes de Coura,Viana do Castelo,Município
0009183,2025,2025,,1111605,Paredes de Coura,1,,UA,Ucrânia,1,,,Paredes de Coura,Viana do Castelo,Município
0009183,2025,2025,,1111606,Ponte da Barca,1,,AO,Angola,1,,,Ponte da Barca,Viana do Castelo,Município
0009183,2025,2025,,1111606,Ponte da Barca,1,,LT,Lituânia,1,,,Ponte da Barca,Viana do Castelo,Município
0009183,2025,2025,,1111610,Vila Nova de Cerveira,1,,LV,Letónia,1,,,Vila Nova de Cerveira,Viana do Castelo,Município
0009183,2025,2025,,1111610,Vila Nova de Cerveira,1,,SK,Eslováquia,1,,,Vila Nova de Cerveira,Viana do Castelo,Município
0009183,2025,2025,,1120313,Vila Verde,1,,JP,Japão,1,,,Vila Verde,Braga,Município
0009183,2025,2025,,1120313,Vila Verde,1,,KR,Coreia (República da),1,,,Vila Verde,Braga,Município
0009183,2025,2025,,1120313,Vila Verde,1,,RS,Sérvia,1,,,Vila Verde,Braga,Município
0009183,2025,2025,,1120313,Vila Verde,1,,SI,Eslovénia,1,,,Vila Verde,Braga,Município
0009183,2025,2025,,1190307,Fafe,1,,KR,Coreia (República da),1,,,Fafe,Braga,Município
0009183,2025,2025,,1190307,Fafe,1,,MX,México,1,,,Fafe,Braga,Município
0009183,2025,2025,,1190309,Póvoa de Lanhoso,1,,LT,Lituânia,1,,,Póvoa de Lanhoso,Braga,Município
0009183,2025,2025,,1190309,Póvoa de Lanhoso,1,,RO,Roménia,1,,,Póvoa de Lanhoso,Braga,Município
0009183,2025,2025,,1190309,Póvoa de Lanhoso,1,,RS,Sérvia,1,,,Póvoa de Lanhoso,Braga,Município
0009183,2025,2025,,1191705,Mondim de Basto,1,,IN,Índia,1,,,Mondim de Basto,Vila Real,Município
0009183,2025,2025,,1191705,Mondim de Basto,1,,KR,Coreia (República da),1,,,Mondim de Basto,Vila Real,Município
0009183,2025,2025,,1191705,Mondim de Basto,1,,TR,Turquia,1,,,Mondim de Basto,Vila Real,Município
0009183,2025,2025,,11A0104,Arouca,1,,CY,Chipre,1,,,Arouca,Aveiro,Município
0009183,2025,2025,,11A0104,Arouca,1,,MA,Marrocos,1,,,Arouca,Aveiro,Município
0009183,2025,2025,,11A0113,Oliveira de Azeméis,1,,EE,Estónia,1,,,Oliveira de Azeméis,Aveiro,Município
0009183,2025,2025,,11A0113,Oliveira de Azeméis,1,,RS,Sérvia,1,,,Oliveira de Azeméis,Aveiro,Município
0009183,2025,2025,,11A1304,Gondomar,1,,CY,Chipre,1,,,Gondomar,Porto,Município
0009183,2025,2025,,11A1318,Trofa,1,,HR,Croácia,1,,,Trofa,Porto,Município
0009183,2025,2025,,11B1702,Boticas,1,,AT,Áustria,1,,,Boticas,Vila Real,Município
0009183,2025,2025,,11B1702,Boticas,1,,UA,Ucrânia,1,,,Boticas,Vila Real,Município
0009183,2025,2025,,11B1706,Montalegre,1,,MT,Malta,1,,,Montalegre,Vila Real,Município
0009183,2025,2025,,11B1709,Ribeira de Pena,1,,CA,Canadá,1,,,Ribeira de Pena,Vila Real,Município
0009183,2025,2025,,11B1709,Ribeira de Pena,1,,CN,China,1,,,Ribeira de Pena,Vila Real,Município
0009183,2025,2025,,11B1713,Vila Pouca de Aguiar,1,,AR,Argentina,1,,,Vila Pouca de Aguiar,Vila Real,Município
0009183,2025,2025,,11B1713,Vila Pouca de Aguiar,1,,MT,Malta,1,,,Vila Pouca de Aguiar,Vila Real,Município
0009183,2025,2025,,11C1804,Cinfães,1,,MX,México,1,,,Cinfães,Viseu,Município
0009183,2025,2025,,11C1804,Cinfães,1,,SK,Eslováquia,1,,,Cinfães,Viseu,Município
0009183,2025,2025,,11C1813,Resende,1,,AO,Angola,1,,,Resende,Viseu,Município
0009183,2025,2025,,11D0404,Freixo de Espada à Cinta,1,,AR,Argentina,1,,,Freixo de Espada à Cinta,Bragança,Município
0009183,2025,2025,,11D0404,Freixo de Espada à Cinta,1,,FI,Finlândia,1,,,Freixo de Espada à Cinta,Bragança,Município
0009183,2025,2025,,11D0404,Freixo de Espada à Cinta,1,,MX,México,1,,,Freixo de Espada à Cinta,Bragança,Município
0009183,2025,2025,,11D0404,Freixo de Espada à Cinta,1,,SK,Eslováquia,1,,,Freixo de Espada à Cinta,Bragança,Município
0009183,2025,2025,,11D0409,Torre de Moncorvo,1,,IN,Índia,1,,,Torre de Moncorvo,Bragança,Município
0009183,2025,2025,,11D0409,Torre de Moncorvo,1,,JP,Japão,1,,,Torre de Moncorvo,Bragança,Município
0009183,2025,2025,,11D0914,Vila Nova de Foz Côa,1,,FI,Finlândia,1,,,Vila Nova de Foz Côa,Guarda,Município
0009183,2025,2025,,11D1807,Moimenta da Beira,1,,AR,Argentina,1,,,Moimenta da Beira,Viseu,Município
0009183,2025,2025,,11D1807,Moimenta da Beira,1,,LV,Letónia,1,,,Moimenta da Beira,Viseu,Município
0009183,2025,2025,,11D1807,Moimenta da Beira,1,,UA,Ucrânia,1,,,Moimenta da Beira,Viseu,Município
0009183,2025,2025,,11D1818,Sernancelhe,1,,BG,Bulgária,1,,,Sernancelhe,Viseu,Município
0009183,2025,2025,,11D1818,Sernancelhe,1,,IT,Itália,1,,,Sernancelhe,Viseu,Município
0009183,2025,2025,,11D1818,Sernancelhe,1,,US,Estados Unidos da América,1,,,Sernancelhe,Viseu,Município
0009183,2025,2025,,11D1820,Tarouca,1,,FI,Finlândia,1,,,Tarouca,Viseu,Município
0009183,2025,2025,,11E0401,Alfândega da Fé,1,,BG,Bulgária,1,,,Alfândega da Fé,Bragança,Município
0009183,2025,2025,,11E0401,Alfândega da Fé,1,,CN,China,1,,,Alfândega da Fé,Bragança,Município
0009183,2025,2025,,11E0401,Alfândega da Fé,1,,DK,Dinamarca,1,,,Alfândega da Fé,Bragança,Município
